Paper ID,DOI,DOI_short,Methodology,Publisher,Year,data_listed,data_metadata,data_stats,data_type,data_access,preproc_data,preproc_features,multiple data,opt_mentioned,opt_baseline,opt_procedure,params_models,params_baselines,params_best_model,params_best_baseline,eval_splitting,eval_metrics,eval_sig_test,code_link,code_empty,code_preproc,code_features_gen,code_eval,code_params_opt,code_info,code_runable
19,https://doi.org/10.1109/BigData.2017.8258421,10.1109/BigData.2017.8258421,ML,IEEE,2017.0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20,https://doi.org/10.1109/CASE56687.2023.10260667,10.1109/CASE56687.2023.10260667,ML,IEEE,2023.0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
21,https://doi.org/10.1109/FIT60620.2023.00036,10.1109/FIT60620.2023.00036,ML,IEEE,2023.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
22,https://doi.org/10.1109/KBEI.2017.8324986,10.1109/KBEI.2017.8324986,ML+KB,IEEE,2017.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,https://doi.org/10.1109/ICCCNT61001.2024.10724490,10.1109/ICCCNT61001.2024.10724490,ML,IEEE,2024.0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
24,https://doi.org/10.1109/ICSSAS57918.2023.10331800,10.1109/ICSSAS57918.2023.10331800,ML,IEEE,2023.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
25,https://doi.org/10.23919/ACC45564.2020.9147772,10.23919/ACC45564.2020.9147772,ML,IEEE,2020.0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1
26,https://doi.org/10.1109/ICoICI62503.2024.10696849,10.1109/ICoICI62503.2024.10696849,ML,IEEE,2024.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
27,https://doi.org/10.1109/COASE.2016.7743463,10.1109/COASE.2016.7743463,ML,IEEE,2016.0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,https://doi.org/10.1109/ICITBS.2016.41,10.1109/ICITBS.2016.41,ML,IEEE,2016.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
29,https://doi.org/10.1109/CoASE.2014.6899467,10.1109/CoASE.2014.6899467,ML,IEEE,2014.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
30,https://doi.org/10.1109/IINTEC48298.2019.9112110,10.1109/IINTEC48298.2019.9112110,ML,IEEE,2019.0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
31,https://doi.org/10.1109/ISIE.2014.6865041,10.1109/ISIE.2014.6865041,ML,IEEE,2014.0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
32,https://doi.org/10.1109/ICPES47639.2019.9105507,10.1109/ICPES47639.2019.9105507,MB+ML,IEEE,2019.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
33,https://doi.org/10.1145/3486611.3491122,10.1145/3486611.3491122,ML,ACM,2021.0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
34,https://dl.acm.org/doi/10.5555/3615924.3623632,10.5555/3615924.3623632,ML,ACM,2023.0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
35,https://doi.org/10.1145/3486611.3486644,10.1145/3486611.3486644,MB+ML,ACM,2021.0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
36,https://doi.org/10.1145/2674061.2674067,10.1145/2674061.2674067,ML+KB,ACM,2014.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
37,https://doi.org/10.1145/3587716.3587749,10.1145/3587716.3587749,ML,ACM,2023.0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
38,https://dl.acm.org/doi/10.5555/2873021.2873029,10.5555/2873021.2873029,ML+KB,ACM,2015.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,https://doi.org/10.1145/3508259.3508281,10.1145/3508259.3508281,ML,ACM,2022.0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1
40,https://doi.org/10.1016/j.ifacol.2024.08.346,10.1016/j.ifacol.2024.08.346,MB+ML,SCP,2024.0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
41,https://doi.org/10.1016/j.ifacol.2024.07.253,10.1016/j.ifacol.2024.07.253,MB+ML,SCP,2024.0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
42,https://doi.org/10.1109/CoDIT62066.2024.10708526,10.1109/CoDIT62066.2024.10708526,ML,SCP,2024.0,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
43,https://doi.org/10.1109/IJCNN60899.2024.10649959,10.1109/IJCNN60899.2024.10649959,ML,SCP,2024.0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
44,https://doi.org/10.1109/I2MTC60896.2024.10560803,10.1109/I2MTC60896.2024.10560803,ML,SCP,2024.0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
45,https://doi.org/10.1109/PHM-Hangzhou58797.2023.10482468,10.1109/PHM-Hangzhou58797.2023.10482468,ML,SCP,2023.0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
46,https://doi.org/10.1109/ICIST59754.2023.10367087,10.1109/ICIST59754.2023.10367087,ML,SCP,2023.0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
47,https://doi.org/10.26868/25222708.2023.1730,10.26868/25222708.2023.1730,ML,SCP,2023.0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
48,https://doi.org/10.26868/25222708.2023.1240,10.26868/25222708.2023.1240,ML,SCP,2023.0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
49,https://doi.org/10.1109/ITOEC57671.2023.10291546,10.1109/ITOEC57671.2023.10291546,ML,SCP,2023.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50,https://doi.org/10.35490/EC3.2023.213,10.35490/EC3.2023.213,ML,SCP,2023.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
51,https://doi.org/10.26868/25222708.2021.30357,10.26868/25222708.2021.30357,ML,SCP,2021.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
52,https://doi.org/10.1109/DASC/PiCom/CBDCom/Cy55231.2022.9927944,10.1109/DASC/PiCom/CBDCom/Cy55231.2022.9927944,ML,SCP,2022.0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
53,https://doi.org/10.4230/OASIcs.DX.2024.22,10.4230/OASIcs.DX.2024.22,ML,SCP,2024.0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
54,https://doi.org/10.1016/j.ifacol.2022.07.152,10.1016/j.ifacol.2022.07.152,MB+ML,SCP,2022.0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
55,https://doi.org/10.1109/HPCC-DSS-SmartCity-DependSys53884.2021.00291,10.1109/HPCC-DSS-SmartCity-DependSys53884.2021.00291,ML,SCP,2021.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,https://doi.org/10.1109/SmartNets50376.2021.9555424,10.1109/SmartNets50376.2021.9555424,ML+KB,SCP,2021.0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
57,https://doi.org/10.1088/1755-1315/675/1/012196,10.1088/1755-1315/675/1/012196,ML,SCP,2021.0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
58,https://doi.org/10.1051/e3sconf/202123303057,10.1051/e3sconf/202123303057,ML,SCP,2021.0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
59,https://doi.org/10.1109/ISAP48318.2019.9065995,10.1109/ISAP48318.2019.9065995,ML,SCP,2019.0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
60,https://doi.org/10.1109/IECON43393.2020.9254466,10.1109/IECON43393.2020.9254466,ML,SCP,2020.0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
61,https://doi.org/10.1109/ICIoT48696.2020.9089508,10.1109/ICIoT48696.2020.9089508,ML,SCP,2020.0,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
62,https://doi.org/10.26868/25222708.2019.210311,10.26868/25222708.2019.210311,MB+ML,SCP,2019.0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
63,https://doi.org/10.1016/j.energy.2020.117323,10.1016/j.energy.2020.117323,ML,SCP,2020.0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
64,https://doi.org/10.1109/COASE.2017.8256214,10.1109/COASE.2017.8256214,MB+ML,SCP,2017.0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
65,https://doi.org/10.1109/CoASE.2014.6899463,10.1109/CoASE.2014.6899463,MB+ML,SCP,2014.0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
